id_text	siglum	cooper	pub	musno	excno	prov	per	lines
P356678	N₁	A	Angin pl. I, X	IM 058472	3N-T0423	Nippur	Old Babylonian	1-21, 22-36
P345142	N₂	AA	SLTN 11	Ist Ni 02304		Nippur	Old Babylonian	181-188
P276484	N₃	AA′	Angin Pl. XIV	N 1337		Nippur	Old Babylonian	189-196
P280051	N₄	Aa	Angin Pl. XIV	CBS 11153 (+?) N 6286		Nippur	Middle Babylonian	129-146, 150, 152; 162-185
P356804	N₅	A′	Angin pl. X	IM 058614	3N-T0679	Nippur	Old Babylonian	1-15
P357014	N₆	A″	(ISET III)	Ist Ni 09503		Nippur	Old Babylonian	1-8, 53-61, 152-163
P278099	N₇	A‴	Angin pl. X	N 3036		Nippur	Old Babylonian	2-9
P453294	N₈	B	TAD 8/2 Angin pl. 6	Ist Ni 04131		Nippur	Old Babylonian	5-16, 73-84
P343409	N₉	BB	ISET I 181	Ist Ni 09741		Nippur	Old Babylonian	197-206
P268382	N₁₀	C	BE 29 9	CBS 13301		Nippur	Old Babylonian	9-20, 183-196
P278151	N₁₁	CC	Angin Pl. XIV	N 3094		Nippur	Old Babylonian	200-205; 206, 209
P343635	N₁₂	D	ISET II 20	Ist Ni 09641		Nippur	Old Babylonian	20-32, 167-183
P356675	N₁₃	E	Angin pl. IIf., XIf.	IM 058466	3N-T0414	Nippur	Old Babylonian	29-51, 79-104, 105-128, 166187
P276867	N₁₄	E′	Angin pl. XI	N 1746 + N 6664 + N 6697 + N 7778 + N 7899		Nippur	Old Babylonian	33-39a, 50-57
P278685	N₁₅	G	Angin pl. XI	N 3670		Nippur	Old Babylonian	49-61
P356836	N₁₆	H	Angin pl. IV	IM 058712	3N-T0792	Nippur	Old Babylonian	52-68, 87-102
P269649	N₁₇	L	Angin pl. XII	CBS 15087 + N 6326		Nippur	Old Babylonian	76-87, 98-103 2
P262962	N₁₈	M	SEM 40	CBS 08013 (+) CBS 08034		Nippur	Old Babylonian	87-98
P356477	N₁₉	M′	Angin Pl. XII	Penn —	3N-T0918,421	Nippur	Old Babylonian	105-109
P343239	N₂₀	N	ISET I 141	Ist Ni 04313		Nippur	Old Babylonian	117-122
P269189	N₂₁	N′	Angin pl. XIII	CBS 14220a		Nippur	Old Babylonian	121-128
P345309	N₂₂	O	SRT 17	Ist Ni 01580		Nippur	Old Babylonian	122-128, 155-164, 197-202     
P269037	N₂₃	P	SEM 41 (14012 only) and Angin Pl. VI	CBS 14012 + UM 29-16-064		Nippur	Old Babylonian	123-145, 146-160
P356963	N₂₄	P′	(ISET III)	Ist Ni 09758		Nippur	Old Babylonian	123-134, 198-209
P343650	N₂₅	Q	ISET II 26	Ist Ni 04297		Nippur	Old Babylonian	128-143
P343649	N₂₆	R	ISET II 25	Ist Ni 09762		Nippur	Old Babylonian	136-148, 184-197
P278157	N₂₇	S	Angin Pl. XIII	N 3100		Nippur	Old Babylonian	140-152
P343413	N₂₈	T	ISET I 182	Ist Ni 09765		Nippur	Old Babylonian	141-154, 183-190
P356689	N₂₉	U	Angin Pl. IIf.	IM —	3N-T0442	Nippur	Old Babylonian	143-148, 153-161
P343537	N₃₀	V	ISET I 204	Ist Ni 09507		Nippur	Old Babylonian	146-157
P356180	N₃₁	W	Angin pl. XIII	Penn —	3N-T0903,112	Nippur	Old Babylonian	147-149, 152; 150f., 153-155  
P343651	N₃₂	X	ISET II 26	Ist Ni 04449		Nippur	Old Babylonian	148-157, 203-209
P345707	N₃₃	Y	TuM NF 4 68	HS 1561		Nippur	Old Babylonian	154-159, 171-183
P278565	N₃₄	Y′	Angin Pl. XIII	N 3540		Nippur	Old Babylonian	164?, 166-172
P356837	N₃₅	Z	Angin Pl. XIII	IM 058730	3N-T0811	Nippur	Old Babylonian	171-183, 192-209
P279218	N₃₆	*FF	N 4359		Nippur	Old Babylonian	124-130, 131-133
P278591	N₃₇	*HH	N 3566		Nippur	Old Babylonian	185-194, 202-207
P356401	N₃₈	*DD	Penn —	3N-T0916,347	Nippur	Old Babylonian	129-134 (5× -ŋu₁₀ mu-da-ŋal₂-la-am₃; first time ⸢ur₃?⸣-ŋu₁₀)
P257288	N₃₉	*GG	UM 55-21-027	2N-T0136	Nippur	Old Babylonian	5-15, 30-39
P464143	N₄₀	*EE	BPOA 9:43	CBS 13402D		unclear	Old Babylonian	28-38
P343646			Ist Ni 13166[LUGALE]		Nippur	Old Babylonian	
P278351			N 3309[LUGALE]		Nippur	Old Babylonian	
P346516	Ur₁		BM —	U —	Ur	Old Babylonian	
P280051	Nmb₁	*Bb	CBS 11153+N 6286	NABU 2012/31	Nippur	Middle Babylonian	
P262169	Nmb₂	*Dd	CBS 7133		uncertain	Middle Babylonian	37-38
P252315	X₁	*II	MS 3374		uncertain	Old Babylonian	160-183, 185-208
P357196	Xmb₁	aA	Angin Pl. XV	BM 098745 + BM 122652		uncertain	Middle Babylonian	1-14, 58-61, 201-209
P254154	Xmb₂	*Aa	MS 5072		uncertain	Middle Babylonian	r i? 115-145, r ii? 170-204
P249794	Xmb₃	*Cc	AUAM 73.2258		uncertain	Middle Babylonian	o 82-86?
P282598	Ama₁	bB	KAR 12 (9441 only) and Angin Pl. XVIf.; AoF 17, 180-181; Wagensonner 2018, 72-73	VAT 09441 (+) VAT 10648		Assur	Middle Assyrian	66?-82, 103-108
P357088	Kna₁	a	MVAG 8/5 pl. I	BM —		Nineveh	Neo-Assyrian	1-12, 47-51
P345480	Kna₂	b	CT 15 42 (without 9385)	BM —		Nineveh	Neo-Assyrian	51-62
P357115	Kna₃	c	MVAG 8/5 pl. IIf.	BM —		Nineveh	Neo-Assyrian	68-82, 83-98
P393724	Kna₄	e	MVAG 8/5 pl. Vf.	BM —		Nineveh	Neo-Assyrian	119-136, 137-152
P357103	Kna₅	f	MVAG 8/5 pl. VIIf. (without 13487) and Angin pl. XVIII	BM —		Nineveh	Neo-Assyrian	156-173, 187-209
P357104	Kna₆	i	Angin pl. XVI	BM —		Nineveh	Neo-Assyrian	132-136; 137, 140, 142, 144
P357101	Kna₇	j	Angin pl. XVI	BM —		Nineveh	Neo-Assyrian	167-174, 189-196
P357143	Kna₈	l	Angin pl. XVII	BM —		Nineveh	Neo-Assyrian	160-164
P357204	Kna₉	m	Angin pl. XV	BM 121035		uncertain	Neo-Assyrian	169-175, 188-204
P357136	Kna₁₀	n	Angin pl. XVII	BM —		Nineveh	Neo-Assyrian	183-187
P357204	Kna₁₁	*o		K 9037		Nineveh	Neo-Assyrian	o? missing, r? 27-40?
P357204	Kna₉	*p	CTN 4 198	IM 067575		Nimrud	Neo-Assyrian	169-175, 188-204
P313113	Nnb₁	x	OIP 97 38	IM 058822	4N-T0033	Nippur	Neo-Babylonian	34-39
P313112	Nnb₂	y	OIP 97 37	IM 058821	4N-T0032	Nippur	Neo-Babylonian	36-39
P256293	Nnb₃	-	BPOA 9:45	UM 29-15-534A		Nippur	Neo-Babylonian	165
